iter	Passed	Remaining
479	618	669
480	619	668
481	620	666
482	621	665
483	622	663
484	623	662
485	624	660
486	625	658
487	626	657
488	627	655
489	628	654
490	629	652
491	630	650
492	631	648
493	631	647
494	633	646
495	634	645
496	635	643
497	636	641
498	637	639
499	638	638
500	638	636
501	639	634
502	640	633
503	641	631
504	642	630
505	643	628
506	644	626
507	645	625
508	646	623
509	647	622
510	648	620
511	649	619
512	650	617
513	651	616
514	652	614
515	653	612
516	654	611
517	655	609
518	656	608
519	657	606
520	657	604
521	658	603
522	659	601
523	660	600
524	661	598
525	662	596
526	663	595
527	664	593
528	665	592
529	666	590
530	666	589
531	667	587
532	668	585
533	669	584
534	670	582
535	671	581
536	672	580
537	673	578
538	674	576
539	675	575
540	676	573
541	676	572
542	677	570
543	678	569
544	679	567
545	680	566
546	681	564
547	682	563
548	683	561
549	684	560
550	685	558
551	686	557
552	687	555
553	688	554
554	689	552
555	690	551
556	691	549
557	692	548
558	693	547
559	694	545
560	695	544
561	696	542
562	696	540
563	697	539
564	698	537
565	699	536
566	700	534
567	701	533
568	702	531
569	702	530
570	703	528
571	704	527
572	705	525
573	706	524
574	707	522
575	708	521
576	709	520
577	710	518
578	711	517
579	711	515
580	712	514
581	714	512
582	715	511
583	716	510
584	717	508
585	718	507
586	719	505
587	719	504
588	720	503
589	721	501
590	722	500
591	723	498
592	724	497
593	725	496
594	726	494
595	727	493
596	728	491
597	729	490
598	730	489
599	731	487
600	732	486
601	733	485
602	734	483
603	735	482
604	736	480
605	737	479
606	738	478
607	739	476
608	740	475
609	741	474
610	742	472
611	743	471
612	744	470
613	745	468
614	746	467
615	747	466
616	748	464
617	749	463
618	750	461
619	751	460
620	752	459
621	753	457
622	754	456
623	754	454
624	755	453
625	756	452
626	757	450
627	759	449
628	760	448
629	761	447
630	762	446
631	763	444
632	764	443
633	765	441
634	766	440
635	767	439
636	768	438
637	769	436
638	770	435
639	771	434
640	772	432
641	773	431
642	775	430
643	776	429
644	777	427
645	778	426
646	779	425
647	780	423
648	781	422
649	782	421
650	783	420
651	784	418
652	785	417
653	786	415
654	787	414
655	788	413
656	789	412
657	790	410
658	791	409
659	792	408
660	793	406
661	794	405
662	795	404
663	796	402
664	797	401
665	798	400
666	799	399
667	800	397
668	801	396
669	802	395
670	803	394
671	804	392
672	805	391
673	806	390
674	807	388
675	808	387
676	809	386
677	810	384
678	811	383
679	812	382
680	813	380
681	814	379
682	815	378
683	816	376
684	816	375
685	817	374
686	819	373
687	820	371
688	820	370
689	821	369
690	822	367
691	823	366
692	824	365
693	825	364
694	826	362
695	827	361
696	828	360
697	829	359
698	830	357
699	831	356
700	832	355
701	833	353
702	834	352
703	835	351
704	836	350
705	837	348
706	838	347
707	839	346
708	840	344
709	841	343
710	842	342
711	843	341
712	844	339
713	845	338
714	846	337
715	847	336
716	848	334
717	849	333
718	850	332
719	851	331
720	852	329
721	853	328
722	854	327
723	854	325
724	855	324
725	857	323
726	858	322
727	858	320
728	859	319
729	860	318
730	861	317
731	862	315
732	863	314
733	865	313
734	866	312
735	867	311
736	868	309
737	869	308
738	869	307
739	870	306
740	872	304
741	872	303
742	873	302
743	874	300
744	875	299
745	876	298
746	877	297
747	878	295
748	879	294
749	880	293
750	881	292
751	882	290
752	883	289
753	884	288
754	884	287
755	885	285
756	886	284
757	887	283
758	888	282
759	889	280
760	890	279
761	891	278
762	892	277
763	893	276
764	894	274
765	895	273
766	897	272
767	898	271
768	899	270
769	899	268
770	901	267
771	902	266
772	902	265
773	903	263
774	904	262
775	905	261
776	906	260
777	907	259
778	908	257
779	909	256
780	910	255
781	911	254
782	912	253
783	913	251
784	914	250
785	915	249
786	916	248
787	917	246
788	918	245
789	919	244
790	920	243
791	920	241
792	921	240
793	922	239
794	924	238
795	924	237
796	925	235
797	926	234
798	927	233
799	928	232
800	929	230
801	930	229
802	931	228
803	932	227
804	933	226
805	934	224
806	934	223
807	935	222
808	936	221
809	937	219
810	938	218
811	939	217
812	940	216
813	941	215
814	941	213
815	942	212
816	943	211
817	944	210
818	945	208
819	946	207
820	947	206
821	948	205
822	949	204
823	950	203
824	951	201
825	952	200
826	953	199
827	954	198
828	955	197
829	956	195
830	957	194
831	958	193
832	959	192
833	960	191
834	961	190
835	962	188
836	963	187
837	964	186
838	965	185
839	966	184
840	967	182
841	968	181
842	969	180
843	970	179
844	971	178
845	972	176
846	973	175
847	974	174
848	975	173
849	976	172
850	977	171
851	978	169
852	979	168
853	980	167
854	981	166
855	982	165
856	984	164
857	985	163
858	986	161
859	986	160
860	987	159
861	988	158
862	989	157
863	991	155
864	992	154
865	992	153
866	993	152
867	994	151
868	995	150
869	996	148
870	997	147
871	998	146
872	999	145
873	1000	144
874	1002	143
875	1003	142
876	1004	140
877	1006	139
878	1007	138
879	1008	137
880	1009	136
881	1009	135
882	1011	134
883	1013	132
884	1014	131
885	1015	130
886	1016	129
887	1017	128
888	1018	127
889	1019	125
890	1020	124
891	1021	123
892	1022	122
893	1023	121
894	1024	120
895	1025	118
896	1026	117
897	1027	116
898	1028	115
899	1029	114
900	1030	113
901	1031	112
902	1032	110
903	1033	109
904	1033	108
905	1035	107
906	1036	106
907	1037	105
908	1038	103
909	1039	102
910	1040	101
911	1041	100
912	1042	99
913	1043	98
914	1044	97
915	1046	95
916	1047	94
917	1048	93
918	1049	92
919	1050	91
920	1052	90
921	1053	89
922	1054	87
923	1055	86
924	1056	85
925	1057	84
926	1058	83
927	1059	82
928	1060	81
929	1061	79
930	1062	78
931	1064	77
932	1065	76
933	1066	75
934	1067	74
935	1068	73
936	1069	71
937	1070	70
938	1071	69
939	1072	68
940	1073	67
941	1074	66
942	1075	65
943	1076	63
944	1077	62
945	1078	61
946	1079	60
947	1080	59
948	1081	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1088	51
955	1089	50
956	1090	49
957	1091	47
958	1092	46
959	1094	45
960	1095	44
961	1096	43
962	1097	42
963	1097	41
964	1099	39
965	1100	38
966	1101	37
967	1102	36
968	1103	35
969	1104	34
970	1105	33
971	1106	31
972	1107	30
973	1109	29
974	1110	28
975	1111	27
976	1112	26
977	1113	25
978	1114	23
979	1115	22
980	1116	21
981	1117	20
982	1118	19
983	1119	18
984	1119	17
985	1120	15
986	1121	14
987	1123	13
988	1124	12
989	1125	11
990	1126	10
991	1127	9
992	1129	7
993	1130	6
994	1131	5
995	1133	4
996	1134	3
997	1135	2
998	1136	1
999	1138	0
